         142820 function calls (140735 primitive calls) in 0.087 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.219    0.024 __init__.py:1(<module>)
     99/1    0.001    0.000    0.087    0.087 {built-in method builtins.exec}
        1    0.000    0.000    0.087    0.087 cnn.py:1(<module>)
    110/1    0.000    0.000    0.087    0.087 <frozen importlib._bootstrap>:1360(_find_and_load)
    110/1    0.000    0.000    0.087    0.087 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
    108/1    0.000    0.000    0.086    0.086 <frozen importlib._bootstrap>:914(_load_unlocked)
     98/1    0.000    0.000    0.086    0.086 <frozen importlib._bootstrap_external>:753(exec_module)
    345/2    0.000    0.000    0.086    0.043 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
   474/10    0.000    0.000    0.081    0.008 {built-in method builtins.__import__}
   147/19    0.000    0.000    0.079    0.004 <frozen importlib._bootstrap>:1401(_handle_fromlist)
        1    0.000    0.000    0.043    0.043 __config__.py:1(<module>)
       98    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:826(get_code)
        1    0.000    0.000    0.023    0.023 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.018    0.018 defmatrix.py:1(<module>)
       98    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.017    0.017 _linalg.py:1(<module>)
      109    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
      103    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
      103    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
      157    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
       98    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _add_newdocs.py:1(<module>)
      391    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      391    0.008    0.000    0.008    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.008    0.008 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      350    0.000    0.000    0.007    0.000 function_base.py:490(add_newdoc)
       98    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
      108    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
      373    0.004    0.000    0.006    0.000 inspect.py:790(cleandoc)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
      350    0.000    0.000    0.006    0.000 function_base.py:474(_add_docstring)
  159/142    0.000    0.000    0.006    0.000 typing.py:396(inner)
       98    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
  232/231    0.002    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1059(exec_module)
        4    0.002    0.000    0.005    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
      264    0.000    0.000    0.005    0.000 overrides.py:145(decorator)
        1    0.000    0.000    0.004    0.004 _npyio_impl.py:1(<module>)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1051(create_module)
        4    0.004    0.001    0.004    0.001 {built-in method _imp.create_dynamic}
       98    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       50    0.000    0.000    0.004    0.000 typing.py:570(__getitem__)
      780    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
      367    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
      135    0.000    0.000    0.003    0.000 typing.py:1341(__init__)
       50    0.000    0.000    0.003    0.000 typing.py:749(Literal)
      128    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      120    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
      477    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       53    0.000    0.000    0.002    0.000 _add_newdocs.py:3381(_array_method_doc)
        1    0.000    0.000    0.002    0.002 _format_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
      144    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
      108    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
       10    0.000    0.000    0.002    0.000 __init__.py:287(compile)
       10    0.000    0.000    0.002    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.002    0.002 _utils_impl.py:1(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:184(decorator)
       10    0.000    0.000    0.002    0.000 _compiler.py:757(compile)
      229    0.000    0.000    0.002    0.000 overrides.py:86(verify_matching_signatures)
       70    0.000    0.000    0.002    0.000 typing.py:1370(__getitem__)
       98    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
      477    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:635(cached)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
20388/20327    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
      477    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       10    0.000    0.000    0.001    0.000 _parser.py:963(parse)
    13649    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
    28/10    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
      286    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.001    0.001 textwrap.py:1(<module>)
      458    0.000    0.000    0.001    0.000 _inspect.py:97(getargspec)
     1201    0.001    0.000    0.001    0.000 typing.py:1286(__setattr__)
        1    0.000    0.000    0.001    0.001 textwrap.py:17(TextWrapper)
    34/10    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
     7714    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2965(__new__)
      477    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
  981/967    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFBB3094D90}
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
       70    0.000    0.000    0.001    0.000 typing.py:1492(copy_with)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
