Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,87
design__instance__area,412.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000089234512345678
power__switching__total,0.000076543210987654
power__leakage__total,6.123456789012345E-10
power__total,0.000165789234567890
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,0.312456789012345
timing__setup__ws__corner:nom_tt_025C_1v80,-0.23
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-0.23
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,-0.23
timing__hold__vio__count__corner:nom_tt_025C_1v80,0
timing__setup__vio__count__corner:nom_tt_025C_1v80,1
timing__hold__r2r_ws__corner:nom_tt_025C_1v80,Infinity
timing__hold__r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup__vio__count__corner:nom_tt_025C_1v80,1
design__die__bbox,0.0 0.0 25.5 25.5
design__core__bbox,2.0 2.0 23.5 23.5
design__io__count,14
design__io__not_connected__count,0
route__net__count,143
route__net__not_connected__count,0
route__net__antenna__count,0
route__drc_errors,0
